id,category,mvp_group,seed,problem_or_opportunity,solution_approach,is_offline_store,llm_expected_primary,llm_expected_primary_name,llm_expected_secondary,llm_expected_note,llm_why,auto_check,search_rank_of_expected,사람_확정_primary,사람_확정_secondary,사람_확정_note,사람_검수완료
D0001,명확단일,카페·음식점,"스페셜티 커피 전문점(에스프레소·핸드드립 위주, 매장 좌석 제공)",동네에 품질 높은 원두로 빠르고 전문적으로 커피를 즐기려는 20~40대 고객이 늘고 있으나 입맛에 맞는 스페셜티 카페가 부족함.,로스팅된 스페셜티 원두로 에스프레소·핸드드립·콜드브루 등 음료를 제조하여 매장 좌석과 테이크아웃으로 판매(원두 소량 포장 판매 병행).,True,552303,커피 전문점,,접객시설을 갖추고 커피 음료를 전문적으로 제공하는 업종에 해당.,매장에서 직접 커피 음료를 제조·제공하고 손님을 접객하는 형태로 '커피 전문점(552303)'이 적절함. 원두 소량 포장은 부수적 활동으로 주업종을 바꾸지 않음.,OK,1,,,,
D0002,명확단일,카페·음식점,매장 직화로 굽는 수제 제과점(빵·샌드 및 커피 일부 병행),인근에 식사용 품질 좋은 베이커리가 적어 출근·점심 고객을 확보할 기회가 있음.,"매장에서 직접 반죽 및 굽기(빵, 크루아상, 샌드위치)하여 즉석 판매하고, 간이 좌석에서 커피·음료를 함께 제공함.",True,552301,제과점업,,즉석에서 빵·제과를 구워 일반 소비자에게 판매하는 업종.,직접 조리·제빵하여 고객에게 판매하고 접객시설을 갖추면 '제과점업(552301)'으로 명확히 분류됨.,검색33위,33,,,,
D0003,명확단일,카페·음식점,생과일 착즙 주스·스무디 바(현장 제조 테이크아웃 중심),"건강한 간편한 음료를 찾는 소비자가 늘었고, 출근길·운동객 대상의 신선 착즙 주스 수요가 존재함.",제철 과일과 채소를 사용해 현장에서 착즙·블렌딩한 주스·스무디를 즉석으로 제조하여 테이크아웃 및 매장 제공.,True,552307,기타 비알코올 음료점업,,접객시설을 갖추고 주스 등 비알코올 음료를 만들어 제공하는 업종.,주스로 현장에서 제조·제공하는 사업 형태가 '기타 비알코올 음료점업(552307)'에 해당함.,검색69위,69,,,,
D0004,명확단일,카페·음식점,가정식 백반 전문점(점심 정찬형 반찬 여러종 제공),직장 밀집지역에 오랜 시간 앉아 식사할 수 있는 정갈한 한식 백반집이 부족함. 점심 고정고객 확보 가능.,국·반찬이 포함된 백반류 중심의 한식 식단을 직접 조리해 매장에서 제공하고 포장 판매 병행.,True,552101,한식 일반 음식점업,,한식 일반 음식을 제공하는 음식점업에 해당.,한식 백반류·찌개류 등을 매장에서 직접 조리·제공하므로 '한식 일반 음식점업(552101)'로 분류됨.,OK,2,,,,
D0005,명확단일,카페·음식점,"이동형 스페셜티 카페 푸드트럭(이동 판매, 행사·오피스 출입)",행사·오피스 상주 수요가 많지만 고정 매장을 내기엔 비용 부담이 커 유연한 이동 판매로 초기 시장 진입 가능.,"푸드트럭에서 에스프레소 기반 음료·콜드브루·간단한 베이커리(와플 등)를 즉석 제조·테이크아웃 판매, 행사 출점과 기업 케이터링으로 수익 창출.",False,552308,이동 음식점업,,이동식 장비로 소비자에게 직접 조리·판매하는 업종.,지정된 고정 점포가 아닌 이동식으로 음식·음료를 조리·판매하므로 '이동 음식점업(552308)'이 적합함.,OK,1,,,,
D0006,명확단일,카페·음식점,소규모 스페셜티 원두 로스팅 및 소포장 제조판매(공장형 제조 중심),로컬 스페셜티 원두를 원하는 카페와 소비자가 늘지만 소량 로스팅·맞춤 블렌드 공급이 부족함.,생두 구매 후 소규모 로스터로 배치별 로스팅(원두 가공)하여 소포장 제품과 대량 납품용 원두를 제조·판매(온라인·B2B 병행).,True,154901,커피 가공업,,원두를 가공(로스팅)하여 포장·판매하는 제조 활동에 해당.,원두의 로스팅·가공을 주된 활동으로 하고 제품을 제조·판매하므로 '커피 가공업(154901)'으로 분류됨.,검색밖,,,,,
D0007,명확단일,카페·음식점,병입 콤부차·무카페인 차 제조업(유통용 병음료 생산),건강 음료 시장 성장으로 대형마트·카페 납품용 병입 콤부차·허브티 수요가 확대되고 있음.,발효·추출 설비로 콤부차 및 차 추출물을 제조해 멸균·병입·라벨링하여 유통사·카페·온라인에 납품하는 제조업.,False,155401,기타 비알코올 음료 제조업,,무가열 또는 가열·혼합해 병입하는 비알코올 음료 제조 활동에 해당.,병입 음료를 원료 가공·혼합·생산하는 주된 활동으로 '기타 비알코올 음료 제조업(155401)'이 적절함.,OK,16,,,,
D0008,명확단일,카페·음식점,캔커피·생수·탄산수 등 음료 전문 소매점(무인 판매대·테이크아웃 병행),사무실 건물 지하·역 출구 인근에 간편하게 음료를 구매하려는 수요가 높음. 무인 시스템으로 인건비 절감 가능.,"다양한 캔·병 음료(캔커피, 생수, 탄산수, 에너지드링크)를 진열·판매하는 소매점(자판기·무인판매 포함).",True,522093,음료 소매업,,비알코올 음료를 소매로 판매하는 업종에 해당.,주류가 아닌 각종 음료를 최종 소비자에게 소매로 판매하므로 '음료 소매업(522093)'으로 분류됨.,OK,2,,,,
D0009,명확단일,카페·음식점,카페·식당 대상 원두·차류 도매 유통(소상공인 납품 전담),지역 카페들이 품질 좋은 원두와 차를 안정적으로 정기 공급받을 유통 파트너를 찾고 있음.,"스페셜티 원두, 티백·잎차 등 차류를 대량 구매해 창고 기반으로 패키지·소분 후 카페·급식업체에 정기 납품하는 B2B 도매 유통.",False,512273,커피 및 차류 도매업,,커피·차류 가공식료품을 도매로 유통하는 활동에 해당.,카페·식당에 원두와 차를 도매 공급하는 B2B 유통 활동이므로 '커피 및 차류 도매업(512273)'이 적절함.,OK,1,,,,
D0010,명확단일,카페·음식점,"수제 수제버거 전문점(그릴·수제 소스 제공, 매장 홀·포장 판매)",지역 내 수제버거에 대한 관심이 높으나 고품질 패티와 소스를 제공하는 전문점이 부족함.,현장 그릴로 패티를 구워 수제 소스·수제 번으로 만든 버거와 사이드(감자튀김)를 매장 좌석과 포장으로 판매.,True,552118,"피자, 햄버거, 샌드위치 및 유사 음식점업",,피자·햄버거·샌드위치 등 직접 조리하여 판매하는 업종에 해당.,"매장에서 직접 햄버거를 조리해 일반 소비자에게 판매하므로 '피자, 햄버거, 샌드위치 및 유사 음식점업(552118)'으로 분류됨.",OK,5,,,,
