id,seed,problem,solution,is_offline_store,expected_primary,expected_secondary,category,note
N001,요즘 반려동물 시장이 크다고 해서 관련된 사업을 해보고 싶어요,반려동물을 키우는 사람이 늘어나는데 저도 그 흐름에 올라타고 싶습니다,아직 구체적으로 뭘 팔지 정하지는 못했지만 반려동물 쪽으로 뭔가 하려고 합니다,,,,정보부족,경제활동 미명시 → NONE
N002,동네에 도움이 되는 일을 하고 싶습니다,우리 동네에 부족한 게 많은 것 같아요,지역 주민들에게 필요한 무언가를 제공하려고 하는데 아이템은 고민 중입니다,,,,정보부족,막연한 지역 기여 의사만 → NONE
N003,친환경에 관심이 많아서 그쪽으로 창업을 준비하고 있어요,환경 문제가 심각한데 뭔가 기여하고 싶습니다,친환경적인 제품이나 서비스를 하고 싶은데 정확히 뭘 만들지는 아직입니다,,,,정보부족,관심사만 → NONE
N004,제가 요리를 잘해서 그걸로 돈 벌 방법을 찾고 있어요,주변에서 음식 솜씨가 좋다는 말을 자주 듣습니다,요리 실력을 살려서 사업을 하고 싶은데 식당인지 배달인지 클래스인지 아직 안 정했어요,,,,정보부족,수익화 방식 미정 → NONE
N005,AI가 요즘 뜨니까 AI로 뭔가 해보려고 합니다,인공지능이 모든 산업을 바꾸고 있다고 들었어요,AI 기술을 활용한 사업을 구상 중인데 어떤 분야에 적용할지 탐색하고 있습니다,,,,정보부족,기술 키워드만 → NONE
N006,대학 때 배운 전공을 살리고 싶어요,전공 지식이 아까워서 창업으로 연결하고 싶습니다,제 전공 분야에서 사업 기회를 찾는 중인데 형태는 미정입니다,,,,정보부족,전공 활용 의사만 → NONE
N007,부업으로 시작해서 나중에 본업으로 키우고 싶습니다,직장 다니면서 할 수 있는 사업을 찾고 있어요,초기에는 소규모로 하다가 잘 되면 확장하려고 하는데 아이템은 여러 개 후보 중입니다,,,,정보부족,규모 계획만 → NONE
N008,요즘 1인 가구가 많아지는 걸 노려보고 싶어요,혼자 사는 사람들이 늘어나는 트렌드가 보입니다,1인 가구를 타깃으로 한 사업을 하고 싶은데 제품인지 서비스인지 결정을 못 했습니다,,,,정보부족,타깃만 명시 → NONE
N009,SNS를 잘 다뤄서 그걸로 수익을 내고 싶어요,팔로워도 어느 정도 있고 콘텐츠 만드는 데 자신 있습니다,온라인에서 영향력을 활용해 돈을 벌고 싶은데 광고인지 판매인지 컨설팅인지 고민입니다,,,,정보부족,채널만 있고 사업모델 미정 → NONE
N010,아이 키우면서 느낀 불편함으로 창업하려고요,육아하면서 아쉬운 점이 정말 많았습니다,그 경험을 사업으로 만들고 싶은데 앱인지 제품인지 서비스인지 아직 구체화 전입니다,,,,정보부족,문제의식만 → NONE
N011,시니어 대상 사업이 유망하다고 해서요,고령화로 노인 인구가 계속 늘어난다고 들었습니다,시니어를 위한 뭔가를 하려고 하는데 돌봄인지 교육인지 여가인지 범위를 좁히는 중입니다,,,,정보부족,인구 트렌드만 → NONE
N012,손재주가 좋아서 만드는 걸로 사업하고 싶어요,뭔가를 직접 만드는 데 소질이 있습니다,제가 만든 걸 팔고 싶은데 어떤 품목이 잘 팔릴지 시장 조사 중입니다,,,,정보부족,제작 의사만 품목 미정 → NONE
N013,해외에서 본 아이템을 한국에 들여오고 싶어요,외국에는 있는데 한국에 없는 서비스를 봤습니다,그걸 국내에 맞게 가져오려고 하는데 어떤 형태로 운영할지는 검토 중입니다,,,,정보부족,벤치마킹 대상 불명 → NONE
N014,사회에 선한 영향을 주는 기업을 만들고 싶습니다,돈만 버는 게 아니라 의미 있는 일을 하고 싶어요,소셜 미션을 가진 사업을 준비하는데 구체적인 사업 아이템은 팀과 논의 중입니다,,,,정보부족,미션만 → NONE
N015,제 인맥을 활용한 사업을 생각하고 있어요,업계에 아는 사람이 많아서 그걸 자산으로 쓰고 싶습니다,네트워크를 기반으로 뭔가 중개하거나 연결하는 일을 하고 싶은데 분야는 미정입니다,,,,정보부족,자원만 있고 사업 미정 → NONE
N016,요즘 구독 서비스가 대세라 그걸 해보고 싶어요,다들 구독 모델로 간다고 하니 저도 그렇게 하려고요,매달 뭔가를 정기 배송하거나 제공하는 사업인데 무엇을 구독시킬지는 아직입니다,,,,정보부족,수익모델 형태만 → NONE
N017,퇴직금으로 안정적인 사업을 하나 하려고 합니다,은퇴 후 소일거리 겸 수입원이 필요합니다,크게 리스크 없는 사업을 찾고 있는데 프랜차이즈인지 임대인지 여러 옵션을 보는 중입니다,,,,정보부족,자금·안정성 조건만 → NONE
N018,MZ세대가 좋아할 만한 걸 하고 싶어요,젊은 층 소비 트렌드가 빠르게 바뀌는 게 기회로 보입니다,트렌디한 무언가를 하려는데 패션인지 F&B인지 콘텐츠인지 방향을 잡는 중입니다,,,,정보부족,세대 타깃만 → NONE
N019,지금 다니는 회사 일이랑 비슷한 걸로 독립하려고요,회사에서 하는 업무를 개인적으로도 할 수 있을 것 같습니다,회사 업무 노하우로 창업하려는데 어떤 서비스로 패키징할지 정리가 안 됐습니다,,,,정보부족,직무 언급만 구체 서비스 미정 → NONE
N020,투자를 받아서 빠르게 크는 스타트업을 만들고 싶어요,벤처 투자 시장이 살아나고 있다고 들었습니다,확장성 있는 아이템으로 스케일업하는 게 목표인데 그 아이템 자체를 아직 못 정했습니다,,,,정보부족,성장 전략만 아이템 없음 → NONE
