id,seed,problem,solution,is_offline_store,expected_primary,expected_alt,expected_secondary,category,note
D0169,LED·조명용품 판매+설치. 스마트전구랑 전선·소켓 판매하고 설치해줌,카페·사무실들 에너지절약·인테리어용 조명 교체하고 싶은데 제품 골라 설치하기 귀찮아함.,"오프라인 소형 매장+온라인몰로 LED램프, 조명기구, 전선, 스위치 등 소매. 소형 매장서 기본 설치(간단한 배선 교체 포함) 유상으로 제공. 기업 납품·정기 점검 계약으로 안정적 매출 확보.",True,523352,,524001,구어체,
D0166,"동네 스페셜티 원두 로스팅+카페, 에스프레소·드립·원두포장·병입 콜드브루 팔거임",동네에 제대로 로스팅해서 소포장·병입까지 해주는 카페가 없음. 집에서 원두·콜드브루 사는 사람 많고 온라인 수요도 큼.,"작은 매장 차려서 매일 소량 로스팅, 매장서 에스프레소·드립 제공하고 로스팅한 원두 200g·500g 소분으로 판매. 자체 병입한 콜드브루(300ml)도 만들어 포장·판매하고 온라인 주문·택배함.",True,552303,,154901,구어체,
D0171,"동네 코인빨래방(셀프)+수거배달, 간단 의류수선(지퍼·단수선)",주택가에 세탁기 부족한 1인 가구 많음. 빨래방 근처에 배달/수거 없는 곳이라 편의성으로 장사될듯. 수선 간단히도 같이 해주면 추가수익.,"코인/셀프형 대형세탁기·건조기 설치한 오프라인 매장 운영. 앱·전화로 수거배달 예약 받고 유료 픽업/배송. 추가로 지퍼교체, 단수선 같은 의류수선 서비스(간단 수선) 별도 요금으로 제공.",True,930100,,922105,구어체,
D0168,중고가구 리퍼브샵. 소파·식탁 수선해서 배송·설치까지 팔음,이사할때 기성 가구 버려지는거 많고 새거는 비싸서 중고 리퍼브 수요 있음. 친환경·가성비 소비 늘어남.,"온라인(인스타·당근)으로 가구 수거하고 샌딩·도색·방석 재제작해서 매장에 전시·소매. 소액 위탁판매, 수거·배송·설치비 별도 청구로 수익. 기업·카페 납품 소량 주문도 받을 예정.",True,524010,,523311,구어체,
D0167,저온착즙 병입 주스 제조해서 구독배송+카페 납품,신선한 착즙주스 정기배송 원함. 슈퍼·보틀 주스는 첨가물 많고 맛·신선도 떨어짐. B2B 납품 수요도 있음.,소규모 제조공간에서 저온착즙해 냉장 병입한 250ml 주스 만들고 라벨 붙여서 구독형으로 당일·익일배송. 카페·오피스에 정기납품도 함. 포장·보존은 저온살균·단축 유통으로 처리.,False,155401,,940907,구어체,
D0178,"혼자 만든 실무형 코딩 온라인 부트캠프(풀스택 JS, 프로젝트 + 월구독)","기초 강의는 많은데 실전 프로젝트랑 코드리뷰가 부족함. 직장인/대학생은 시간도 없고, 반복해서 보면서 공부할 구독형 콘텐츠 원함.","자체 제작한 녹화 강의(강사 1인 진행), 실무 프로젝트 과제+코드리뷰(멘토링), 월구독 플랜으로 강의·과제·커뮤니티 제공. 기업 연수 패키지 따로 판매하고, 실습노트·전자책(PDF) 별도 판매.",False,809016,,921505,구어체,
D0177,카페용 재고·발주 자동화 SaaS 앱 — POS 연동 월구독 서비스,동네 카페들 재고관리 엉망. 원두나 컵 발주 수작업이라 품절·과잉구매 자주 발생. 소규모는 고급 ERP 못씀.,"웹/SaaS로 POS·회계 연동해서 재고 자동집계, 임계치 자동발주 알림·발주서 자동생성. 초기 세팅비 받고 월구독(2만~5만). 추가로 커스텀 통합 개발 수익 확보.",False,722000,,940926,구어체,
D0066,서버 운영·네트워크용 시스템 소프트웨어(미들웨어/관리툴) 개발 회사,호스팅·클라우드 사업자는 서버 모니터링·자동화·컨테이너 오케스트레이션을 통합한 경량 시스템 소프트웨어(미들웨어)를 원함. 상용화 가능성 높음.,"서버·네트워크 환경에서 동작하는 시스템 소프트웨어(에이전트, 미들웨어, 서버관리 데몬)를 개발하여 라이브러리·설치 패키지 형태로 기업 고객에 공급하고, 설치·지원 계약으로 수익화.",False,722004,,722004,명확단일,
D0059,중소기업용 윈도우 데스크톱 백업·보안 유틸리티 패키지 판매,"중소기업은 백업·암호화·파일 복구 기능을 통합한 저비용 오프라인 설치형 유틸리티 소프트웨어를 선호하며, 라이선스 기반으로 다수 배포 가능.","데스크톱(Windows)용 설치형 백업·암호화 유틸리티를 개발하여 웹사이트와 파트너 유통망을 통해 라이선스 판매(단일 라이선스 및 볼륨 라이선스), 정기 업데이트 유료 지원 제공.",False,722000,,722000,명확단일,
D0074,외국인 대상 한국어 회화·TOPIK 대비 학원,"유학·취업·비자 사유로 한국어 실력 향상을 원하는 외국인 학습자가 꾸준히 있으며, 맞춤형 회화·시험 대비반 수요가 높음.","오프라인 강의(소그룹 회화)와 시험 대비(모의고사, 첨삭) 과정을 운영하고, 장기과정·단기집중과정을 수강료 기반으로 판매. 온라인 보충 수업도 병행하나 학원 중심 서비스.",True,809017,,,명확단일,
D0006,소규모 스페셜티 원두 로스팅 및 소포장 제조판매(공장형 제조 중심),로컬 스페셜티 원두를 원하는 카페와 소비자가 늘지만 소량 로스팅·맞춤 블렌드 공급이 부족함.,생두 구매 후 소규모 로스터로 배치별 로스팅(원두 가공)하여 소포장 제품과 대량 납품용 원두를 제조·판매(온라인·B2B 병행).,True,154901,,,명확단일,
