id,seed,problem,solution,is_offline_store,expected_primary,expected_alt,expected_secondary,category,note
D0175,텃밭에서 노지채소랑 닭 키워서 농장 매장·주말장터에 채소바구니+계란세트 파는 소규모 귀농형 팜스토어,마을 주민이랑 당근 직거래 찾음. 도시 소비자들 주말 체험·직구매도 늘고 있음. 노지 채소랑 신선계란 같이 팔면 부가가치 높아짐.,"논·밭에서 계절별 노지채소 재배. 닭 50마리 사육해 계란 생산. 농장 내 매장(픽업)과 주말 직거래장터 참여해서 채소바구니+달걀세트 판매, 체험소규모 운영.",True,014301,,522040,구어체,작물재배와 가금류 사육을 복합적으로 운영하므로 복합농업 코드(014301)가 주업에 적합. 현장 소매 판매는 522040로 보조 표기.
D0171,"동네 코인빨래방(셀프)+수거배달, 간단 의류수선(지퍼·단수선)",주택가에 세탁기 부족한 1인 가구 많음. 빨래방 근처에 배달/수거 없는 곳이라 편의성으로 장사될듯. 수선 간단히도 같이 해주면 추가수익.,"코인/셀프형 대형세탁기·건조기 설치한 오프라인 매장 운영. 앱·전화로 수거배달 예약 받고 유료 픽업/배송. 추가로 지퍼교체, 단수선 같은 의류수선 서비스(간단 수선) 별도 요금으로 제공.",True,930100,,922105,구어체,"일반 대중 대상 세탁업(930100)을 주로 하고, 의복 수선(지퍼·단수선)은 922105 보조 분류 가능."
D0166,"동네 스페셜티 원두 로스팅+카페, 에스프레소·드립·원두포장·병입 콜드브루 팔거임",동네에 제대로 로스팅해서 소포장·병입까지 해주는 카페가 없음. 집에서 원두·콜드브루 사는 사람 많고 온라인 수요도 큼.,"작은 매장 차려서 매일 소량 로스팅, 매장서 에스프레소·드립 제공하고 로스팅한 원두 200g·500g 소분으로 판매. 자체 병입한 콜드브루(300ml)도 만들어 포장·판매하고 온라인 주문·택배함.",True,552303,,154901,구어체,주요 활동은 접객시설을 갖춘 커피전문점(음료 제공)이지만 자체 원두로스팅·가공 및 병입상품을 제조·판매하므로 커피가공업 보조코드 적용.
D0168,중고가구 리퍼브샵. 소파·식탁 수선해서 배송·설치까지 팔음,이사할때 기성 가구 버려지는거 많고 새거는 비싸서 중고 리퍼브 수요 있음. 친환경·가성비 소비 늘어남.,"온라인(인스타·당근)으로 가구 수거하고 샌딩·도색·방석 재제작해서 매장에 전시·소매. 소액 위탁판매, 수거·배송·설치비 별도 청구로 수익. 기업·카페 납품 소량 주문도 받을 예정.",True,524010,,523311,구어체,주 업은 중고 가구를 수집·리퍼브해 판매하므로 '중고 가구 소매업(524010)' 주코드. 리퍼브 후 일반 가구 소매 성격도 있어 보조로 가구 소매 코드(523311) 사용 가능.
D0167,저온착즙 병입 주스 제조해서 구독배송+카페 납품,신선한 착즙주스 정기배송 원함. 슈퍼·보틀 주스는 첨가물 많고 맛·신선도 떨어짐. B2B 납품 수요도 있음.,소규모 제조공간에서 저온착즙해 냉장 병입한 250ml 주스 만들고 라벨 붙여서 구독형으로 당일·익일배송. 카페·오피스에 정기납품도 함. 포장·보존은 저온살균·단축 유통으로 처리.,False,155401,,940907,구어체,"주요 활동은 병입한 비알코올 음료(착즙주스) 제조이므로 제조업 코드, 별도로 자체 배송·구독 배송 인력·서비스가 있어 배달원 코드 보조 적용."
D0032,"헤어 살롱(펌·염색·커트 전문, 프랜차이즈형 소규모 매장)",퍼스널 컬러·복합 시술 수요 증가로 전문 펌·염색 샵의 단골화가 용이. 시술 단가가 높아 매출성장 가능.,"펌·염색·컷·두피케어 등 서비스 제공, 제품(헤어케어) 소매, 예약제와 VIP 멤버십(정기염색 할인) 운영. 교육·스타일링 클래스로 부가수익 창출.",True,930203,,,명확단일,두발 미용업
D0005,"이동형 스페셜티 카페 푸드트럭(이동 판매, 행사·오피스 출입)",행사·오피스 상주 수요가 많지만 고정 매장을 내기엔 비용 부담이 커 유연한 이동 판매로 초기 시장 진입 가능.,"푸드트럭에서 에스프레소 기반 음료·콜드브루·간단한 베이커리(와플 등)를 즉석 제조·테이크아웃 판매, 행사 출점과 기업 케이터링으로 수익 창출.",False,552308,,,명확단일,이동식 장비로 소비자에게 직접 조리·판매하는 업종.
D0050,통제된 환경의 버섯(표고·느타리) 시설재배 및 소포장해 마트에 공급하는 양식장,"버섯은 기후에 민감해 연중 안정생산을 위한 시설 필요, 신선 포장 수요 증가.",균배지 준비·환경제어가 가능한 시설에서 표고·느타리를 재배하고 선별·소포장해 대형마트·온라인에 납품한다.,False,011009,,,명확단일,채소·화훼·과실 외의 작물을 시설에서 재배하는 활동(예: 버섯 등).
D0070,웹툰 연재작 모음 단행본·작품집 출판,"웹툰 플랫폼에서 인기 있는 연재작을 오프라인 단행본으로도 소장하려는 독자 수요가 있으며, 일부 작가는 단행본 출간 채널이 필요함.",웹툰 원고를 편집·재구성해 단행본(종이책)과 전자책으로 제작·출판하고 굿즈와 번들 패키지로 판매. 온·오프라인 서점 및 웹툰 플랫폼과의 제휴 판매를 통해 수익화.,False,221104,,,명확단일,만화 단행본 출판
D0023,노트북·데스크탑 및 주변기기 수리점(진단·부품교체·출장수리),홈오피스 확대로 노트북·데스크탑 고장·데이터 손상 발생 증가. 개인과 소규모 기업 대상 신속 진단과 출장수리가 부족하다.,"매장형 수리·진단 워크숍을 열고 SSD/메모리 교체, 데이터 복구, 바이러스 제거, 프린터·모니터 등 주변기기 수리와 기업용 정기 유지보수 계약(월정액)을 판매. 출장 방문 수리와 원격지원 요금제를 병행.",True,725000,,,명확단일,컴퓨터 및 주변 기기 수리업
