"id","seed","problem","solution","expected_primary","expected_alt","expected_secondary","note"
"G01","생두를 직접 수입해 로스팅한 원두를 소량 단위로 포장해 카페와 개인 고객에게 정기적으로 공급한다","신선한 스페셜티 원두를 원하는 날짜에 볶아 받기 어렵고 소량 정기구매 선택지가 부족하다는 불편이 크다","자체 로스팅 시설에서 주문을 받은 뒤 볶아 진공포장하고 구독 형태로 정기배송하며 도매로도 납품한다","154901","","","커피 원두 제조가공"
"G02","직접 볶은 원두로 매장에서 커피 음료를 만들어 손님에게 판매하는 카페를 운영한다","동네에 제대로 된 스페셜티 커피를 마실 곳이 없고 프랜차이즈 커피 맛에 만족하지 못하는 손님이 많다","좌석을 갖춘 매장에서 바리스타가 에스프레소 음료와 드립커피를 제조해 현장에서 판매하고 일부 원두도 소매한다","552303","","","매장 조리 판매 음식점"
"G03","매일 아침 매장에서 직접 반죽해 구운 빵과 케이크를 진열해 손님에게 판매하는 동네 빵집을 운영한다","공장에서 대량생산한 빵만 파는 곳이 많아 갓 구운 빵을 파는 동네 빵집 수요가 크다","매장 안 주방에서 제빵사가 매일 반죽부터 구움까지 직접 하고 완성된 빵과 케이크를 매장에서 판매한다","552301","154104","","매장 제조 제과점"
"G04","천연 재료로 수제 비누와 입욕제를 소량 생산해 자사 온라인몰에서 판매한다","시중 비누의 화학 성분이 걱정되는 민감성 피부 소비자가 늘고 있고 믿을 만한 소량 수제 브랜드가 부족하다","공방에서 직접 배합하고 굳혀 만든 비누와 입욕제를 포장해 자사몰과 마켓 입점으로 판매한다","242401","242402","","비누 세제 제조"
"G05","여러 국내외 브랜드의 의류를 사입해 자체 인터넷 쇼핑몰에서 소비자에게 판매한다","오프라인 편집숍은 접근성이 낮고 다양한 브랜드를 한 곳에서 비교해 사고 싶은 온라인 수요가 크다","도매처에서 옷을 매입해 재고를 보유하고 자사 쇼핑몰에 상품을 등록해 개별 소비자에게 택배로 판매한다","525101","","","전자상거래 소매"
"G06","중소 제조업체를 위한 재고 발주 관리 SaaS를 직접 개발해 월 구독료를 받고 제공한다","중소 제조사들이 엑셀로 재고를 관리하다 결품과 과잉재고를 반복하지만 기존 ERP는 비싸고 무겁다","자체 개발팀이 웹 기반 재고관리 소프트웨어를 만들어 클라우드로 배포하고 구독 방식으로 판매하고 운영한다","722000","721000","","응용 소프트웨어 개발"
"G07","초등 중등 학생을 대상으로 오프라인 교실에서 코딩과 컴퓨터 활용을 가르치는 학원을 운영한다","공교육에서 코딩 교육이 부족하고 자녀에게 체계적인 프로그래밍 기초를 시키고 싶은 학부모가 많다","강사가 정해진 커리큘럼으로 교실에서 대면 수업을 진행하고 월 수강료를 받는 사설 학원을 운영한다","809013","809002","","컴퓨터 학원"
"G08","주거와 상업 공간의 실내 인테리어를 설계하고 디자인 도면과 3D 시안을 제공한다","집이나 가게를 꾸미고 싶지만 어떤 콘셉트로 어떻게 배치할지 몰라 전문적인 공간 설계를 원하는 사람이 많다","고객 상담 후 공간 콘셉트와 도면 자재 색상 계획 3D 렌더링 시안을 만들어 디자인 용역으로 제공한다","749914","","","인테리어 디자인 용역"
"G09","미용사가 상주하는 매장에서 커트 펌 염색 등 헤어 미용 서비스를 제공한다","1인 가구가 많은 상권에 실력 있는 동네 미용실이 부족하고 예약제로 편하게 관리받고 싶은 수요가 있다","예약을 받아 미용사가 매장에서 커트와 펌 염색 시술을 하고 시술비를 받는 헤어살롱을 운영한다","930203","","","두발 미용업"
"G10","산지에서 채소를 대량으로 매입해 식당과 급식업체에 정기적으로 납품한다","소규모 식당이 매일 새벽 도매시장에 나가기 어렵고 안정적인 가격으로 채소를 공급받고 싶어한다","계약한 산지와 도매시장에서 채소를 대량 매입해 창고에 보관하고 거래처 주문에 맞춰 분류하고 배송해 도매로 판매한다","512212","512215","","채소 도매"
"G11","반려견과 반려묘를 위한 사료를 자체 배합해 제조하고 포장해 유통사에 공급한다","반려동물 건강에 대한 관심이 높아지며 원료가 투명한 국산 사료 수요가 커지는데 소규모 제조가 적다","자체 공장에서 원료를 배합하고 건조하고 성형해 사료를 만들고 완제품을 포장해 유통사와 온라인 판매처에 공급한다","153104","153300","","반려동물 사료 제조"
"G12","다양한 분야의 문서를 의뢰받아 한국어와 외국어 사이로 번역하고 통역 인력을 파견한다","기업의 해외 진출과 외국인 이용 증가로 정확한 전문 번역과 현장 통역 수요가 꾸준히 늘고 있다","전문 번역가 네트워크를 통해 문서를 번역해 납품하고 행사와 상담 현장에 통역사를 배정해 용역비를 받는다","749902","","","번역 통역 서비스"
"G13","고객의 옷과 이불을 수거해 세탁하고 건조하고 다림질한 뒤 다시 배달해 주는 세탁 서비스를 운영한다","맞벌이와 1인 가구가 늘며 세탁소에 직접 갈 시간이 없고 비대면으로 맡기고 받고 싶은 수요가 크다","앱이나 전화로 접수해 의류를 수거하고 자체 매장에서 세탁 처리한 뒤 고객에게 배달하며 건당 요금을 받는다","930100","","","가정용 세탁업"
"G14","스튜디오에서 가족사진 프로필 행사 사진과 영상을 촬영하고 보정해 결과물을 제공한다","스마트폰 사진으로는 담기 어려운 기념일과 프로필을 전문 장비와 조명으로 남기고 싶은 수요가 많다","예약을 받아 스튜디오나 현장에서 촬영하고 후보정한 사진과 영상 파일과 인화물을 납품하며 촬영비를 받는다","749400","930904","","사진 촬영업"
"G15","국산 배추와 고춧가루로 김치를 직접 담가 진공포장해 식당과 가정에 정기 배송한다","공장 김치는 맛이 균일하지 않고 첨가물이 걱정된다는 소비자와 손이 부족한 식당의 수요가 크다","자체 위생 시설에서 절임부터 양념 버무리기까지 직접 하고 포장한 김치를 정기구독과 도매로 공급한다","151301","","","김치류 제조"
"G16","자체 연구실에서 기초 화장품을 배합하고 충전해 브랜드 완제품으로 생산한다","작은 화장품 브랜드는 소량 생산과 성분 관리를 맡길 제조처를 구하기 어렵다","원료 배합과 유화 충전 라벨링까지 자체 설비로 진행해 스킨 로션 크림 완제품을 만들어 브랜드사에 납품한다","242403","","","화장품 제조"
"G17","은과 원석으로 반지와 목걸이를 하나하나 세공해 만들어 판매한다","공장에서 찍어낸 액세서리가 아니라 손으로 만든 주얼리를 원하는 소비자가 늘고 있다","공방에서 왁스 조각 주조 연마 세팅까지 직접 하여 완성한 귀금속 장신구를 자사몰과 편집숍에 공급한다","369101","369501","","귀금속 제품 제조"
"G18","아기 옷을 직접 패턴 제작하고 봉제해 완제품으로 만들어 유통한다","유아복은 원단 안전성과 마감이 중요한데 믿고 맡길 소규모 봉제 생산처가 부족하다","자체 봉제 공장에서 재단 봉제 검사 포장까지 진행해 유아용 의류 완제품을 브랜드와 편집숍에 납품한다","181208","181211","","유아용 의복 제조"
"G19","전통 방식으로 쌀을 발효시켜 막걸리를 빚어 병입해 판매한다","획일적인 대기업 막걸리와 달리 지역 쌀로 빚은 소규모 양조 막걸리 수요가 늘고 있다","자체 양조장에서 고두밥 누룩 발효 여과 병입까지 직접 하여 막걸리를 만들어 주류 도매상과 음식점에 공급한다","155201","155202","","탁주 약주 제조"
"G20","새벽 위판장에서 활어와 선어를 대량 매입해 횟집과 마트에 당일 납품한다","횟집이 매일 위판장에 나가기 어렵고 신선도와 가격이 들쭉날쭉하다는 불편이 크다","경매로 수산물을 대량 확보해 손질과 선별 후 냉장 차량으로 거래처에 배송하고 도매 마진으로 수익을 낸다","512231","512232;512234","","수산물 도매"
"G21","제약사에서 의약품을 매입해 지역 약국과 병원에 배송하고 재고를 관리해 준다","동네 약국은 소량 다품목 발주가 잦은데 큰 도매상은 대응이 느리다는 불편이 있다","제약사와 계약해 의약품을 창고에 보관하고 약국 주문을 받아 분류 배송하며 도매 마진으로 수익을 낸다","513311","513312","","의약품 도매"
"G22","시력을 검사하고 고객에게 맞는 안경테와 렌즈를 조제해 판매하는 안경원을 운영한다","온라인으로는 정확한 검안과 피팅이 어렵고 대면으로 맞춰 사고 싶은 수요가 꾸준하다","매장에서 검안 후 프레임과 렌즈를 골라 가공 조립해 판매하고 사후 조정 서비스를 제공한다","523541","","","안경 소매"
"G23","한우와 돼지고기를 부위별로 손질해 진열하고 소비자에게 소포장으로 판매하는 정육점을 운영한다","마트 포장육은 부위 선택과 손질 요청이 어렵고 단골 정육점을 찾는 소비자가 많다","도매상과 산지에서 지육을 받아 매장에서 발골 정형 소분해 진열하고 소비자에게 소매로 판매한다","522020","","","육류 소매"
"G24","반려동물 사료 간식 용품을 사입해 자사 온라인몰에서 소비자에게 판매한다","오프라인 매장은 품목이 제한적이고 무거운 사료를 집까지 배송받고 싶은 수요가 크다","여러 브랜드 제품을 매입해 재고로 보유하고 쇼핑몰에 등록해 개별 소비자에게 택배로 판매한다","525101","525102","","전자상거래 소매"
