id,seed,problem,solution,is_offline_store,expected_primary,expected_alt,expected_secondary,category,note
D0001,"스페셜티 커피 전문점(에스프레소·핸드드립 위주, 매장 좌석 제공)",동네에 품질 높은 원두로 빠르고 전문적으로 커피를 즐기려는 20~40대 고객이 늘고 있으나 입맛에 맞는 스페셜티 카페가 부족함.,로스팅된 스페셜티 원두로 에스프레소·핸드드립·콜드브루 등 음료를 제조하여 매장 좌석과 테이크아웃으로 판매(원두 소량 포장 판매 병행).,True,552303,,,명확단일,접객시설을 갖추고 커피 음료를 전문적으로 제공하는 업종에 해당.
D0004,가정식 백반 전문점(점심 정찬형 반찬 여러종 제공),직장 밀집지역에 오랜 시간 앉아 식사할 수 있는 정갈한 한식 백반집이 부족함. 점심 고정고객 확보 가능.,국·반찬이 포함된 백반류 중심의 한식 식단을 직접 조리해 매장에서 제공하고 포장 판매 병행.,True,552101,,,명확단일,한식 일반 음식을 제공하는 음식점업에 해당.
D0005,"이동형 스페셜티 카페 푸드트럭(이동 판매, 행사·오피스 출입)",행사·오피스 상주 수요가 많지만 고정 매장을 내기엔 비용 부담이 커 유연한 이동 판매로 초기 시장 진입 가능.,"푸드트럭에서 에스프레소 기반 음료·콜드브루·간단한 베이커리(와플 등)를 즉석 제조·테이크아웃 판매, 행사 출점과 기업 케이터링으로 수익 창출.",False,552308,,,명확단일,이동식 장비로 소비자에게 직접 조리·판매하는 업종.
D0007,병입 콤부차·무카페인 차 제조업(유통용 병음료 생산),건강 음료 시장 성장으로 대형마트·카페 납품용 병입 콤부차·허브티 수요가 확대되고 있음.,발효·추출 설비로 콤부차 및 차 추출물을 제조해 멸균·병입·라벨링하여 유통사·카페·온라인에 납품하는 제조업.,False,155401,,,명확단일,무가열 또는 가열·혼합해 병입하는 비알코올 음료 제조 활동에 해당.
D0008,캔커피·생수·탄산수 등 음료 전문 소매점(무인 판매대·테이크아웃 병행),사무실 건물 지하·역 출구 인근에 간편하게 음료를 구매하려는 수요가 높음. 무인 시스템으로 인건비 절감 가능.,"다양한 캔·병 음료(캔커피, 생수, 탄산수, 에너지드링크)를 진열·판매하는 소매점(자판기·무인판매 포함).",True,522093,,,명확단일,비알코올 음료를 소매로 판매하는 업종에 해당.
D0009,카페·식당 대상 원두·차류 도매 유통(소상공인 납품 전담),지역 카페들이 품질 좋은 원두와 차를 안정적으로 정기 공급받을 유통 파트너를 찾고 있음.,"스페셜티 원두, 티백·잎차 등 차류를 대량 구매해 창고 기반으로 패키지·소분 후 카페·급식업체에 정기 납품하는 B2B 도매 유통.",False,512273,,,명확단일,커피·차류 가공식료품을 도매로 유통하는 활동에 해당.
D0010,"수제 수제버거 전문점(그릴·수제 소스 제공, 매장 홀·포장 판매)",지역 내 수제버거에 대한 관심이 높으나 고품질 패티와 소스를 제공하는 전문점이 부족함.,현장 그릴로 패티를 구워 수제 소스·수제 번으로 만든 버거와 사이드(감자튀김)를 매장 좌석과 포장으로 판매.,True,552118,,,명확단일,피자·햄버거·샌드위치 등 직접 조리하여 판매하는 업종에 해당.
D0011,생수·탄산수 등 비알코올 음료 전문 도매 유통(대형마트·편의점 납품),편의점·마트에 다양한 생수·탄산수 브랜드를 안정적으로 공급하는 물류 유통사가 필요함.,"수입·국내 생수, 탄산수 등 비알코올 음료를 대량 구매해 창고에서 보관·분류 후 소매채널(마트·편의점)에 도매 납품.",False,512260,,,명확단일,비알코올 음료를 도매로 공급·유통하는 활동에 해당.
D0012,소형·저전력 미니 냉장고 전문 소매점(원룸용·캠핑용),원룸 거주자·캠퍼·학생들은 크기가 작고 전력 효율 높은 미니 냉장고를 원하지만 대형 가전 매장에서는 선택지가 적고 배송·설치 비용이 높음.,국내외 소형 냉장고(40~120L) 모델을 도매로 수급해 매장과 온라인 몰에서 소매한다. 제품별 전력효율·소음 데이터를 비교해 전시·판매하고 배송·설치·A/S 패키지를 유료로 제공(직접 제조하지 않고 신품 가전 소매).,True,523390,,,명확단일,가정용 소형 전기기기(냉장고) 전문 소매
D0013,원룸·소형주택용 모듈형 가구 전문 소매점,1인 가구와 소형주택이 증가하면서 공간 효율 높은 조립식·모듈 가구 수요가 급증하지만 대형 가구점 제품은 부피가 크고 배송비 부담이 큼.,"제작은 전문 가구 공장에 위탁(혹은 주문제작 협력)하고, 완제품 및 반조립 모듈 가구(침대·수납장·책상 등)를 매장에서 전시·판매하며 배송·설치 서비스 포함해 소매한다(직접 대량 제조하지 않고 가구를 매입해 소매).",True,523331,,,명확단일,가구(목재 가구 등) 전문 소매
D0014,프랜차이즈 제과품(빵·케이크·떡) 입점형 소매점,"동네 상권에 신선한 빵·과자류를 공급하는 소매점이 적고, 직장인·가구 대상 아침·간식 수요가 꾸준함.","본인이 직접 제빵을 하지 않고, 제빵 공장·체인 공급망에서 제품을 정기 구매해 매장(3,000㎡ 미만)에서 소매로 판매한다. 매장 내 포장·온음식 판매만 수행하며 제조 시설은 별도로 두지 않음(직접 제조 아님).",True,522061,,,명확단일,제과류(빵·과자·떡류 등)를 공급받아 소매
D0015,디자이너 문구·수제 스케치북 전문 소매점,디자이너·일러스트레이터·취미그림 수요자가 독특한 수제 스케치북·고급 펜·수성·유성 마커 등 특화 문구를 찾기 어려움.,"해외·국내 수제 스케치북, 아티스트용 잉크·펜, 고급 수채·유화용 도구 등 문구용품을 도매로 매입해 오프라인 매장과 온라인으로 소매한다(제조가 아닌 소매 판매).",True,523983,,,명확단일,문구·회화용품 전문 소매
D0016,국산·수입 경차용 엔진 및 전용 신품 부품 전문 소매점,동네 정비소와 개인 경차 오너들은 OEM 규격의 엔진 부품·타이밍 벨트·연료분사부품을 신속히 구하기 어려움.,"자동차 제조사 인증 신품 엔진 부품(엔진헤드 가스켓, 피스톤, 캠샤프트 등)과 동력전달 관련 신품 부품을 공식 도매처에서 수급해 매장 및 온라인으로 소매한다(신품 부품 전문 소매).",True,503009,,,명확단일,자동차용 엔진·동력 전달 등 전용 신품 부품 소매
D0017,OTC 의약품·가정용 의료용품 전문 편의 약국(처방전 취급 제외 사업모델),"동네에서 상비약·체온계·상처용 의료용품을 쉽게 구매하려는 소비자가 많고, 편의점형으로 접근성 높은 매장이 필요함.","의약외품·일반의약품(OTC)과 가정용 의료용품(체온계, 혈압계, 소독제 등)을 도매로 매입해 소매한다. 전문 의약품 처방 조제는 하지 않고, 상비약 소매에 집중한다(제조 아님).",True,523114,,,명확단일,의약품 및 의료용품 소매(OTC·의약외품 중심)
